
> badminton-web@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://10.15.75.70:3000
- Environments: .env
✓ Ready in 2.2s

○ Compiling / ...
 GET /dashboard 200 in 1280ms (next.js: 235ms, proxy.ts: 25ms, application-code: 1020ms)
 GET /api/sessions?page=1&pageSize=10 200 in 1340ms (next.js: 13ms, proxy.ts: 8ms, application-code: 1318ms)
 GET /api/events?page=1&pageSize=50 200 in 764ms (next.js: 20ms, proxy.ts: 17ms, application-code: 728ms)
 GET /api/sessions?page=1&pageSize=50 200 in 2.6s (next.js: 7ms, proxy.ts: 25ms, application-code: 2.6s)
 GET /groups 200 in 443ms (next.js: 31ms, proxy.ts: 15ms, application-code: 398ms)
 GET /admin/users 200 in 897ms (next.js: 41ms, proxy.ts: 17ms, application-code: 840ms)
 POST /api/auth/login 200 in 2.1s (next.js: 1835ms, proxy.ts: 12ms, application-code: 271ms)
 GET /api/sessions?page=1&pageSize=20 200 in 1443ms (next.js: 19ms, proxy.ts: 14ms, application-code: 1409ms)
 GET /api/events?page=1&pageSize=20 200 in 235ms (next.js: 17ms, proxy.ts: 11ms, application-code: 207ms)
 GET /api/announcements?page=1&pageSize=20 200 in 1550ms (next.js: 1381ms, proxy.ts: 11ms, application-code: 158ms)
 GET / 200 in 1086ms (next.js: 102ms, proxy.ts: 715ms, application-code: 268ms)
 GET /api/sessions/8681 200 in 3.6s (next.js: 3.1s, proxy.ts: 15ms, application-code: 531ms)
 GET /api/sessions/8681/comments?page=1&pageSize=20 200 in 1651ms (next.js: 1433ms, proxy.ts: 16ms, application-code: 202ms)
 GET /venues 200 in 8.9s (next.js: 2.6s, proxy.ts: 9ms, application-code: 6.3s)
 GET /events 200 in 6.6s (next.js: 2.8s, proxy.ts: 27ms, application-code: 3.7s)
 GET /dashboard 200 in 2.1s (next.js: 41ms, proxy.ts: 19ms, application-code: 2.1s)
 GET /dashboard?archivePage=2 200 in 2.5s (next.js: 5ms, proxy.ts: 26ms, application-code: 2.5s)
 GET /api/sessions?page=1&pageSize=10 200 in 1508ms (next.js: 18ms, proxy.ts: 16ms, application-code: 1474ms)
 GET /api/announcements?page=1&pageSize=10 200 in 200ms (next.js: 27ms, proxy.ts: 17ms, application-code: 156ms)
 GET /api/events?page=1&pageSize=50 200 in 298ms (next.js: 46ms, proxy.ts: 27ms, application-code: 224ms)
 GET /api/sessions?page=1&pageSize=50 200 in 2.9s (next.js: 13ms, proxy.ts: 27ms, application-code: 2.8s)
 GET /groups 200 in 501ms (next.js: 43ms, proxy.ts: 18ms, application-code: 440ms)
 GET /dashboard 200 in 1994ms (next.js: 6ms, proxy.ts: 17ms, application-code: 1971ms)
 GET /dashboard 200 in 2.2s (next.js: 11ms, proxy.ts: 32ms, application-code: 2.2s)
 GET /dashboard 200 in 736ms (next.js: 7ms, proxy.ts: 17ms, application-code: 711ms)
 GET /dashboard 200 in 1915ms (next.js: 20ms, proxy.ts: 39ms, application-code: 1856ms)
 GET /dashboard 200 in 752ms (next.js: 9ms, proxy.ts: 19ms, application-code: 723ms)
 GET /dashboard 200 in 2.6s (next.js: 12ms, proxy.ts: 55ms, application-code: 2.5s)
 GET /dashboard 200 in 1550ms (next.js: 490ms, proxy.ts: 31ms, application-code: 1029ms)
 GET /dashboard 200 in 1882ms (next.js: 10ms, proxy.ts: 37ms, application-code: 1835ms)
 GET /dashboard 200 in 481ms (next.js: 8ms, proxy.ts: 18ms, application-code: 456ms)
 GET /dashboard 200 in 944ms (next.js: 14ms, proxy.ts: 27ms, application-code: 903ms)
 GET /dashboard 200 in 1882ms (next.js: 52ms, proxy.ts: 63ms, application-code: 1767ms)
 GET /dashboard 200 in 1104ms (next.js: 213ms, proxy.ts: 19ms, application-code: 872ms)
 GET /dashboard 200 in 3.4s (next.js: 10ms, proxy.ts: 54ms, application-code: 3.3s)
 GET /dashboard 200 in 1336ms (next.js: 163ms, proxy.ts: 24ms, application-code: 1148ms)
 GET /dashboard 200 in 1058ms (next.js: 130ms, proxy.ts: 17ms, application-code: 911ms)
 GET /dashboard 200 in 757ms (next.js: 10ms, proxy.ts: 20ms, application-code: 727ms)
 GET /dashboard 200 in 709ms (next.js: 12ms, proxy.ts: 22ms, application-code: 675ms)
 GET /dashboard 200 in 1218ms (next.js: 115ms, proxy.ts: 21ms, application-code: 1081ms)
 GET /dashboard 200 in 871ms (next.js: 102ms, proxy.ts: 10ms, application-code: 759ms)
○ Compiling /profile ...
 GET /profile 200 in 5.5s (next.js: 3.9s, proxy.ts: 24ms, application-code: 1584ms)
 GET /profile 200 in 653ms (next.js: 129ms, proxy.ts: 25ms, application-code: 499ms)
 GET /profile 200 in 429ms (next.js: 114ms, proxy.ts: 17ms, application-code: 298ms)
 GET /profile 200 in 401ms (next.js: 102ms, proxy.ts: 16ms, application-code: 284ms)
 GET /groups 200 in 596ms (next.js: 39ms, proxy.ts: 18ms, application-code: 540ms)
 GET /profile 200 in 374ms (next.js: 6ms, proxy.ts: 11ms, application-code: 357ms)
 GET /profile 200 in 235ms (next.js: 17ms, proxy.ts: 23ms, application-code: 196ms)
 GET /profile 200 in 149ms (next.js: 9ms, proxy.ts: 20ms, application-code: 121ms)
○ Compiling /admin ...
 GET /admin 200 in 7.5s (next.js: 5.8s, proxy.ts: 24ms, application-code: 1674ms)
 GET /admin 200 in 778ms (next.js: 234ms, proxy.ts: 16ms, application-code: 529ms)
○ Compiling /api/sessions ...
 GET /api/sessions?page=1&pageSize=10 200 in 6.4s (next.js: 5.1s, proxy.ts: 21ms, application-code: 1232ms)
 GET /api/sessions?page=1&pageSize=50 200 in 1768ms (next.js: 14ms, proxy.ts: 26ms, application-code: 1728ms)
○ Compiling /api/events ...
 GET /api/events?page=1&pageSize=50 200 in 3.7s (next.js: 3.4s, proxy.ts: 37ms, application-code: 246ms)
 GET /admin 200 in 1620ms (next.js: 241ms, proxy.ts: 79ms, application-code: 1300ms)
 GET /admin 200 in 789ms (next.js: 282ms, proxy.ts: 15ms, application-code: 491ms)
 GET /admin 200 in 984ms (next.js: 5ms, proxy.ts: 81ms, application-code: 897ms)
 GET /admin 200 in 843ms (next.js: 176ms, proxy.ts: 23ms, application-code: 643ms)
○ Compiling /api/sessions ...
 GET /api/sessions?page=1&pageSize=50 200 in 6.4s (next.js: 3.7s, proxy.ts: 15ms, application-code: 2.7s)
○ Compiling /api/events ...
 GET /api/events?page=1&pageSize=50 200 in 7.7s (next.js: 3.7s, proxy.ts: 3.7s, application-code: 207ms)
 GET /api/events?page=1&pageSize=50 200 in 296ms (next.js: 6ms, proxy.ts: 12ms, application-code: 277ms)
 GET /api/sessions?page=1&pageSize=50 200 in 1885ms (next.js: 30ms, proxy.ts: 23ms, application-code: 1833ms)
